iter	Accuracy	Logloss
0	0.8179159122	0.624917576
1	0.8200449689	0.5857520908
2	0.8200449689	0.5461568944
3	0.8200449689	0.5228837199
4	0.8200449689	0.5066736307
5	0.8200449689	0.4932741504
6	0.8200449689	0.4829236308
7	0.8200449689	0.4739973357
8	0.8200449689	0.4671948641
9	0.8200449689	0.4614946809
10	0.8200449689	0.4569577951
11	0.8200449689	0.450800181
12	0.8200449689	0.4431027781
13	0.8200449689	0.4406122641
14	0.8200449689	0.4384800376
15	0.8200449689	0.4365858674
16	0.8200449689	0.43492864
17	0.8200449689	0.4336873768
18	0.8200449689	0.430607254
19	0.8200449689	0.4296920593
20	0.8200449689	0.428919286
21	0.8200449689	0.4284830644
22	0.8200449689	0.4279561164
23	0.8200449689	0.4276918091
24	0.8200449689	0.4269365287
25	0.8200549177	0.4265056935
26	0.8200549177	0.4259950113
27	0.8200549177	0.4252727589
28	0.8200549177	0.4247946055
29	0.8200648666	0.4244345565
30	0.8200847643	0.4230133467
31	0.8200947132	0.4227369846
32	0.8201146109	0.4224136558
33	0.8201245598	0.4221278813
34	0.8201245598	0.4217055082
35	0.8201345086	0.4215068147
36	0.8201743041	0.4210883599
37	0.8201743041	0.4207969382
38	0.8201842529	0.4205977845
39	0.8201942018	0.420362893
40	0.8202339973	0.4202073601
41	0.8202240484	0.420083759
42	0.8202439461	0.4191892986
43	0.8202439461	0.4190886611
44	0.8202439461	0.4189611756
45	0.8202339973	0.4187424237
46	0.8202439461	0.4185328477
47	0.8202439461	0.4183729272
48	0.820253895	0.4182223522
49	0.8202737927	0.4181483498
50	0.8202737927	0.417934991
51	0.820253895	0.4177735388
52	0.8202737927	0.4174825391
53	0.8202737927	0.4173381152
54	0.8202837416	0.4172209444
55	0.8202837416	0.4170557485
56	0.820323537	0.4168845896
57	0.8203135882	0.4167571573
58	0.8203135882	0.4166472846
59	0.8203036393	0.4164997449
60	0.8203036393	0.4163791401
61	0.8203533836	0.4158534473
62	0.8204130768	0.4157079159
63	0.8204130768	0.4156422625
64	0.8203931791	0.4155374564
65	0.8204031279	0.415393353
66	0.8204329745	0.4152420824
67	0.8204827188	0.4151304574
68	0.8204926677	0.4150831797
69	0.8205623097	0.4149781188
70	0.8206021052	0.414870089
71	0.8206021052	0.4147754923
72	0.8206220029	0.414387002
73	0.8206419006	0.4142943973
74	0.8205921563	0.414181114
75	0.8206021052	0.414119316
76	0.8206617984	0.4140021125
77	0.8207314404	0.4138706777
78	0.8207015938	0.413781296
79	0.8206816961	0.4137001408
80	0.8207314404	0.4135727478
81	0.8207712358	0.4135031905
82	0.8207712358	0.413411839
83	0.8207712358	0.4133102854
84	0.8207513381	0.4132479849
85	0.8207712358	0.4132050265
86	0.8207712358	0.4131513181
87	0.8208607756	0.4130935544
