iter	Passed	Remaining
0	107	128650
1	200	119483
2	275	109394
3	356	106157
4	435	103599
5	524	103929
6	607	103022
7	683	101324
8	768	101217
9	845	100105
10	925	99506
11	1011	99674
12	1090	99067
13	1174	99021
14	1244	97840
15	1309	96447
16	1380	95584
17	1450	94777
18	1522	94153
19	1608	94412
20	1689	94362
21	1739	92667
22	1814	92366
23	1847	90080
24	1937	90606
25	2021	90825
26	2108	91122
27	2189	91197
28	2282	91686
29	2381	92408
30	2467	92560
31	2549	92576
32	2637	92782
33	2742	93552
34	2819	93351
35	2892	93048
36	2961	92610
37	3028	92129
38	3109	92097
39	3184	91871
40	3262	91737
41	3314	90903
42	3379	90452
43	3450	90182
44	3512	89687
45	3579	89320
46	3651	89117
47	3715	88717
48	3791	88598
49	3854	88188
50	3926	88002
51	3999	87831
52	4071	87658
53	4141	87424
54	4203	87042
55	4271	86798
56	4339	86567
57	4397	86140
58	4461	85832
59	4528	85583
60	4585	85163
61	4656	85018
62	4731	84932
63	4803	84813
64	4872	84629
65	4959	84763
66	5027	84561
67	5099	84445
68	5153	84028
69	5223	83869
70	5303	83887
71	5376	83784
72	5453	83742
73	5522	83583
74	5589	83397
75	5661	83289
76	5732	83156
77	5803	83033
78	5866	82798
79	5941	82730
80	6013	82624
81	6090	82588
82	6161	82473
83	6231	82349
84	6297	82169
85	6362	81969
86	6410	81568
87	6466	81268
88	6541	81214
89	6609	81080
90	6681	80990
91	6729	80603
92	6793	80425
93	6858	80262
94	6925	80115
95	6974	79765
96	7054	79783
97	7114	79565
98	7184	79462
99	7253	79355
100	7303	79037
101	7365	78857
102	7437	78776
103	7501	78621
104	7573	78552
105	7632	78345
106	7694	78170
107	7761	78047
108	7823	77878
109	7886	77716
110	7957	77638
111	8050	77773
112	8130	77777
113	8195	77639
114	8272	77617
115	8341	77517
116	8408	77405
117	8483	77356
118	8569	77414
119	8631	77252
120	8696	77120
121	8762	76997
122	8832	76905
123	8900	76798
124	8963	76658
125	9039	76620
126	9095	76420
127	9159	76279
128	9224	76159
129	9299	76116
130	9372	76051
131	9445	75997
132	9523	75973
133	9595	75905
134	9660	75777
135	9733	75718
136	9799	75610
137	9857	75430
138	9931	75376
139	10005	75326
140	10082	75298
141	10153	75221
142	10225	75157
143	10294	75065
144	10374	75051
145	10450	75012
146	10529	74995
147	10577	74759
148	10655	74733
149	10741	74758
150	10809	74666
151	10897	74708
152	10983	74732
153	11064	74719
154	11133	74633
155	11208	74582
156	11270	74439
157	11338	74346
158	11417	74322
159	11491	74263
160	11567	74218
161	11636	74131
162	11711	74075
163	11790	74048
164	11865	73999
165	11932	73897
166	12001	73803
167	12081	73780
168	12153	73710
169	12222	73619
170	12294	73548
171	12360	73445
172	12440	73420
173	12522	73407
174	12589	73305
175	12651	73179
176	12716	73064
177	12788	72993
178	12849	72862
179	12921	72791
180	12999	72753
181	13067	72661
182	13152	72663
183	13224	72591
184	13293	72500
185	13361	72410
186	13434	72342
187	13502	72254
188	13584	72235
189	13664	72207
190	13745	72182
191	13813	72091
192	13887	72029
193	13962	71971
194	14029	71873
195	14097	71783
196	14174	71733
197	14245	71656
198	14316	71580
199	14387	71505
200	14453	71403
201	14524	71327
202	14601	71281
203	14691	71298
204	14766	71238
205	14829	71123
206	14896	71028
207	14972	70974
208	15043	70897
209	15110	70802
210	15246	71029
211	15318	70957
212	15391	70888
213	15468	70838
214	15544	70781
215	15600	70636
216	15678	70587
217	15759	70558
218	15825	70454
219	15893	70366
220	15962	70278
221	16030	70189
222	16099	70101
223	16159	69978
224	16229	69894
225	16300	69819
226	16359	69690
227	16423	69582
228	16507	69563
229	16581	69498
230	16664	69472
231	16742	69424
232	16816	69360
233	16883	69267
234	16957	69199
235	17028	69122
236	17103	69063
237	17185	69032
238	17267	68997
239	17341	68933
240	17414	68862
241	17489	68800
242	17565	68742
243	17635	68661
244	17718	68633
245	17797	68585
246	17877	68542
247	17964	68524
248	18037	68457
249	18117	68413
250	18192	68349
251	18274	68313
252	18355	68271
253	18425	68188
254	18507	68150
255	18576	68065
256	18646	67984
257	18724	67930
258	18811	67908
259	18883	67834
260	18959	67773
261	19042	67738
262	19117	67675
263	19215	67690
264	19298	67655
265	19372	67584
266	19443	67506
267	19514	67426
268	19587	67353
269	19662	67288
270	19737	67224
271	19824	67197
272	19882	67076
273	19951	66989
274	20019	66902
275	20096	66842
276	20185	66823
277	20257	66746
278	20328	66667
279	20400	66592
280	20468	66503
281	20534	66408
282	20601	66316
283	20669	66231
284	20743	66161
285	20805	66053
286	20879	65983
287	20926	65831
288	20993	65739
289	21057	65641
290	21125	65554
291	21204	65500
292	21272	65414
293	21341	65331
294	21413	65257
295	21486	65186
296	21556	65104
297	21613	64986
298	21680	64897
299	21744	64798
300	21822	64743
301	21901	64687
302	21968	64601
303	22039	64523
304	22110	64447
305	22180	64368
306	22252	64294
307	22324	64219
308	22408	64178
309	22475	64091
310	22543	64004
311	22606	63906
312	22680	63837
313	22747	63750
314	22818	63673
315	22895	63614
316	22977	63568
317	23047	63488
318	23117	63410
319	23188	63333
320	23259	63257
321	23341	63210
322	23432	63187
323	23502	63109
324	23563	63003
325	23630	62916
326	23699	62836
327	23764	62743
328	23814	62611
329	23885	62537
330	23945	62430
331	24004	62324
332	24072	62241
333	24143	62166
334	24209	62076
335	24276	61991
336	24343	61907
337	24435	61885
338	24518	61839
339	24590	61764
340	24660	61687
341	24730	61609
342	24801	61533
343	24873	61460
344	24952	61404
345	25023	61328
346	25079	61216
347	25147	61134
348	25226	61078
349	25295	60997
350	25375	60943
351	25450	60877
352	25547	60865
353	25623	60801
354	25696	60730
355	25764	60648
356	25834	60568
357	25908	60501
358	25990	60451
359	26063	60381
360	26143	60324
361	26212	60244
362	26280	60162
363	26348	60080
364	26417	59999
365	26497	59946
366	26580	59896
367	26657	59834
368	26724	59750
369	26793	59670
370	26866	59599
371	26937	59523
372	27010	59451
373	27090	59396
374	27164	59327
375	27237	59255
376	27306	59177
377	27387	59123
378	27456	59042
379	27504	58917
380	27574	58840
381	27647	58768
382	27722	58703
383	27796	58633
384	27859	58541
385	27930	58466
386	28003	58394
387	28085	58341
388	28157	58270
389	28232	58202
390	28303	58127
391	28375	58053
392	28446	57979
393	28519	57907
394	28593	57837
395	28636	57706
396	28714	57645
397	28795	57590
398	28865	57513
399	28936	57438
400	29009	57368
401	29079	57290
402	29151	57217
403	29219	57136
404	29289	57060
405	29354	56974
406	29422	56893
407	29495	56822
408	29577	56769
409	29654	56705
410	29731	56642
411	29800	56563
412	29878	56502
413	29949	56425
414	30015	56342
415	30093	56281
416	30159	56196
417	30224	56110
418	30287	56020
419	30358	55946
420	30416	55847
421	30480	55760
422	30544	55673
423	30627	55621
424	30704	55557
425	30775	55482
426	30843	55402
427	30917	55334
428	30993	55267
429	31067	55199
430	31147	55140
431	31219	55067
432	31284	54982
433	31347	54893
434	31413	54811
435	31492	54749
436	31559	54669
437	31622	54581
438	31704	54525
439	31785	54469
440	31857	54395
441	31930	54325
442	32010	54265
443	32081	54191
444	32146	54107
445	32216	54031
446	32291	53964
447	32372	53905
448	32438	53823
449	32513	53755
450	32569	53656
451	32636	53575
452	32724	53530
453	32793	53452
454	32861	53372
455	32930	53295
456	32995	53212
457	33074	53150
458	33166	53109
459	33229	53023
460	33313	52969
461	33372	52875
462	33439	52795
463	33494	52696
464	33564	52621
465	33636	52548
466	33709	52476
467	33795	52426
468	33873	52363
469	33950	52298
470	34025	52230
471	34099	52160
472	34185	52109
473	34260	52040
474	34349	51994
475	34425	51927
476	34487	51840
477	34549	51751
478	34613	51667
479	34677	51582
480	34752	51514
481	34830	51451
482	34908	51386
483	34979	51313
484	35050	51238
485	35120	51163
486	35202	51105
487	35281	51042
488	35346	50959
489	35407	50870
490	35474	50791
491	35536	50704
492	35583	50596
493	35652	50519
494	35722	50443
495	35795	50373
496	35882	50322
497	35951	50245
498	36024	50175
499	36099	50106
500	36164	50024
501	36233	49947
502	36310	49882
503	36398	49831
504	36462	49747
505	36533	49673
506	36603	49599
507	36675	49526
508	36742	49447
509	36796	49351
510	36882	49296
511	36952	49221
512	37006	49125
513	37080	49055
514	37148	48978
515	37224	48910
516	37299	48843
517	37370	48768
518	37439	48692
519	37520	48632
520	37608	48581
521	37678	48505
522	37751	48435
523	37823	48362
524	37913	48312
525	37977	48230
526	38043	48150
527	38123	48087
528	38191	48009
529	38261	47935
530	38332	47861
531	38411	47798
532	38492	47736
533	38577	47679
534	38650	47608
535	38726	47541
536	38801	47471
537	38871	47396
538	38964	47349
539	39034	47274
540	39106	47203
541	39175	47126
542	39247	47053
543	39316	46977
544	39386	46902
545	39466	46839
546	39535	46762
547	39624	46710
548	39694	46635
549	39769	46566
550	39841	46493
551	39910	46417
552	39990	46354
553	40071	46292
554	40141	46217
555	40211	46142
556	40282	46068
557	40352	45993
558	40423	45919
559	40508	45861
560	40577	45785
561	40660	45724
562	40735	45655
563	40803	45578
564	40876	45506
565	40938	45423
566	41007	45347
567	41099	45296
568	41183	45236
569	41274	45184
570	41352	45118
571	41426	45048
572	41524	45003
573	41618	44954
574	41693	44884
575	41766	44812
576	41825	44724
577	41899	44654
578	41970	44580
579	42035	44499
580	42130	44451
581	42204	44379
582	42273	44303
583	42312	44196
584	42382	44120
585	42451	44045
586	42517	43966
587	42593	43897
588	42655	43814
589	42727	43741
590	42802	43671
591	42877	43602
592	42957	43536
593	43017	43451
594	43085	43375
595	43171	43316
596	43229	43229
597	43299	43155
598	43372	43082
599	43442	43007
600	43511	42932
601	43578	42855
602	43648	42779
603	43721	42708
604	43771	42614
605	43834	42532
606	43909	42462
607	43994	42402
608	44063	42327
609	44127	42246
610	44218	42191
611	44279	42108
612	44345	42030
613	44411	41952
614	44480	41876
615	44546	41798
616	44609	41717
617	44681	41644
618	44749	41568
619	44807	41483
620	44868	41399
621	44931	41319
622	45014	41257
623	45091	41189
624	45163	41117
625	45257	41064
626	45334	40996
627	45409	40926
628	45475	40848
629	45541	40770
630	45598	40684
631	45650	40594
632	45731	40530
633	45799	40453
634	45869	40379
635	45943	40308
636	46015	40236
637	46085	40161
638	46165	40096
639	46281	40062
640	46400	40030
641	46481	39965
642	46548	39888
643	46616	39812
644	46694	39744
645	46763	39669
646	46842	39602
647	46911	39526
648	46981	39452
649	47061	39386
650	47141	39320
651	47212	39247
652	47281	39171
653	47372	39115
654	47436	39035
655	47500	38956
656	47574	38885
657	47639	38806
