iter	RMSE
0	354331.3863
1	339263.393
2	327413.0242
3	316222.1185
4	306460.5455
5	297265.2241
6	288777.2028
7	281301.9385
8	273021.3939
9	266075.0104
10	258402.8765
11	251963.7033
12	247326.541
13	242056.2934
14	236058.3217
15	234022.4368
16	229110.08
17	227442.2841
18	222816.5555
19	219448.1859
20	216931.6909
21	216027.9995
22	214865.8297
23	210662.2872
24	208277.8848
25	207078.015
26	206103.5762
27	204973.3643
28	203464.945
29	200377.1943
30	197701.0692
31	195467.9574
32	193083.3992
33	191463.3612
34	189563.8579
35	187544.2447
36	185925.5668
37	184211.0733
38	182187.0445
39	180678.387
40	180082.8412
41	178873.1749
42	177636.1043
43	177262.7791
44	176878.9337
45	175837.7936
46	174397.6006
47	173990.4503
48	173486.4445
49	172534.1856
