iter	Passed	Remaining
0	61	3035
1	64	1544
2	68	1077
3	75	864
4	76	689
5	78	575
6	82	507
7	84	441
8	85	388
9	87	348
10	88	312
11	89	282
12	90	257
13	92	236
14	93	217
15	95	202
16	96	186
17	97	172
18	98	161
19	102	154
20	104	143
21	106	135
22	107	126
23	110	119
24	111	111
25	116	107
26	116	99
27	118	92
28	119	86
29	120	80
30	121	74
31	122	69
32	124	64
33	126	59
34	128	54
35	130	50
36	131	46
37	133	42
38	134	37
39	135	33
40	136	29
41	138	26
42	139	22
43	140	19
44	141	15
45	142	12
46	143	9
47	146	6
48	151	3
49	152	0
